Raw Data 		Experiment - JMM_ScreenSeq_CellFree_10_7_2022 (Run on LCS480 1.5.1.62)
SamplePos	SampleName	Prog#	Seg#	Cycle#	Time	Temp	465-510	618-660	
A1	Sample 1	2	2	1	270860	59.94	0.78	0.41
A1	Sample 1	2	2	2	343640	59.91	0.79	0.42
A1	Sample 1	2	2	3	416440	59.91	0.80	0.42
A1	Sample 1	2	2	4	489230	59.94	0.79	0.41
A1	Sample 1	2	2	5	561930	59.94	0.80	0.42
A1	Sample 1	2	2	6	634650	59.94	0.80	0.42
A1	Sample 1	2	2	7	707430	59.94	0.81	0.42
A1	Sample 1	2	2	8	780150	59.94	0.80	0.42
A1	Sample 1	2	2	9	852940	59.94	0.80	0.42
A1	Sample 1	2	2	10	925740	59.91	0.81	0.42
A1	Sample 1	2	2	11	998530	59.91	0.81	0.42
A1	Sample 1	2	2	12	1071250	59.91	0.82	0.42
A1	Sample 1	2	2	13	1144050	59.94	0.81	0.42
A1	Sample 1	2	2	14	1216830	59.94	0.81	0.41
A1	Sample 1	2	2	15	1289540	59.94	0.81	0.42
A1	Sample 1	2	2	16	1362250	59.94	0.81	0.42
A1	Sample 1	2	2	17	1435030	59.94	0.82	0.41
A2	Sample 2	2	2	1	270860	59.94	1.13	0.22
A2	Sample 2	2	2	2	343640	59.91	1.10	0.21
A2	Sample 2	2	2	3	416440	59.91	1.09	0.21
A2	Sample 2	2	2	4	489230	59.94	1.08	0.21
A2	Sample 2	2	2	5	561930	59.94	1.09	0.22
A2	Sample 2	2	2	6	634650	59.94	1.08	0.21
A2	Sample 2	2	2	7	707430	59.94	1.09	0.21
A2	Sample 2	2	2	8	780150	59.94	1.08	0.21
A2	Sample 2	2	2	9	852940	59.94	1.08	0.21
A2	Sample 2	2	2	10	925740	59.91	1.08	0.21
A2	Sample 2	2	2	11	998530	59.91	1.07	0.21
A2	Sample 2	2	2	12	1071250	59.91	1.08	0.21
A2	Sample 2	2	2	13	1144050	59.94	1.09	0.21
A2	Sample 2	2	2	14	1216830	59.94	1.07	0.21
A2	Sample 2	2	2	15	1289540	59.94	1.08	0.21
A2	Sample 2	2	2	16	1362250	59.94	1.08	0.21
A2	Sample 2	2	2	17	1435030	59.94	1.07	0.21
A3	Sample 3	2	2	1	270860	59.94	0.49	0.22
A3	Sample 3	2	2	2	343640	59.91	0.50	0.22
A3	Sample 3	2	2	3	416440	59.91	0.49	0.22
A3	Sample 3	2	2	4	489230	59.94	0.50	0.22
A3	Sample 3	2	2	5	561930	59.94	0.50	0.22
A3	Sample 3	2	2	6	634650	59.94	0.51	0.22
A3	Sample 3	2	2	7	707430	59.94	0.50	0.22
A3	Sample 3	2	2	8	780150	59.94	0.50	0.22
A3	Sample 3	2	2	9	852940	59.94	0.50	0.22
A3	Sample 3	2	2	10	925740	59.91	0.50	0.22
A3	Sample 3	2	2	11	998530	59.91	0.51	0.21
A3	Sample 3	2	2	12	1071250	59.91	0.50	0.22
A3	Sample 3	2	2	13	1144050	59.94	0.50	0.22
A3	Sample 3	2	2	14	1216830	59.94	0.51	0.22
A3	Sample 3	2	2	15	1289540	59.94	0.51	0.22
A3	Sample 3	2	2	16	1362250	59.94	0.51	0.22
A3	Sample 3	2	2	17	1435030	59.94	0.50	0.22
A4	Sample 4	2	2	1	270860	59.94	0.28	0.12
A4	Sample 4	2	2	2	343640	59.91	0.28	0.13
A4	Sample 4	2	2	3	416440	59.91	0.28	0.13
A4	Sample 4	2	2	4	489230	59.94	0.28	0.13
A4	Sample 4	2	2	5	561930	59.94	0.29	0.13
A4	Sample 4	2	2	6	634650	59.94	0.29	0.13
A4	Sample 4	2	2	7	707430	59.94	0.29	0.13
A4	Sample 4	2	2	8	780150	59.94	0.29	0.13
A4	Sample 4	2	2	9	852940	59.94	0.29	0.13
A4	Sample 4	2	2	10	925740	59.91	0.29	0.13
A4	Sample 4	2	2	11	998530	59.91	0.29	0.13
A4	Sample 4	2	2	12	1071250	59.91	0.29	0.13
A4	Sample 4	2	2	13	1144050	59.94	0.29	0.13
