,Droplet ID,File,Channel,Intensity
0,0,Image20h,4X_FITC_15%,20355.72
1,0,Image20h,Brightfield,3313.68
2,1,Image20h,4X_FITC_15%,14186.6
3,1,Image20h,Brightfield,2851.44
4,2,Image20h,4X_FITC_15%,18619.8
5,2,Image20h,Brightfield,3256.04
6,3,Image20h,4X_FITC_15%,14610.88
7,3,Image20h,Brightfield,4998.64
8,4,Image20h,4X_FITC_15%,9991.16
9,4,Image20h,Brightfield,3650.12
10,5,Image20h,4X_FITC_15%,3687.84
11,5,Image20h,Brightfield,4298.56
12,6,Image20h,4X_FITC_15%,10422.28
13,6,Image20h,Brightfield,2821.56
14,7,Image20h,4X_FITC_15%,17108.48
15,7,Image20h,Brightfield,2995.6
16,8,Image20h,4X_FITC_15%,11899.92
17,8,Image20h,Brightfield,3274.84
18,9,Image20h,4X_FITC_15%,5074.12
19,9,Image20h,Brightfield,3926.52
20,10,Image20h,4X_FITC_15%,8998.12
21,10,Image20h,Brightfield,3834.28
22,11,Image20h,4X_FITC_15%,18564.32
23,11,Image20h,Brightfield,3525.16
24,12,Image20h,4X_FITC_15%,18715.24
25,12,Image20h,Brightfield,3241.44
26,13,Image20h,4X_FITC_15%,11211.96
27,13,Image20h,Brightfield,3834.88
28,14,Image20h,4X_FITC_15%,11930.76
29,14,Image20h,Brightfield,3921.6
30,15,Image20h,4X_FITC_15%,17449.84
31,15,Image20h,Brightfield,3149.52
32,16,Image20h,4X_FITC_15%,11883.68
33,16,Image20h,Brightfield,4593.88
34,17,Image20h,4X_FITC_15%,11785.12
35,17,Image20h,Brightfield,2851.8
36,18,Image20h,4X_FITC_15%,12151.56
37,18,Image20h,Brightfield,4137.36
38,19,Image20h,4X_FITC_15%,15513.16
39,19,Image20h,Brightfield,3119.72
40,20,Image20h,4X_FITC_15%,17045.36
41,20,Image20h,Brightfield,2942.52
42,21,Image20h,4X_FITC_15%,13203.44
43,21,Image20h,Brightfield,5116.64
44,22,Image20h,4X_FITC_15%,12233.16
45,22,Image20h,Brightfield,3524.64
46,23,Image20h,4X_FITC_15%,18422.28
47,23,Image20h,Brightfield,3404.48
48,24,Image20h,4X_FITC_15%,13470.44
49,24,Image20h,Brightfield,3234.96
50,25,Image20h,4X_FITC_15%,14010.32
51,25,Image20h,Brightfield,2965.88
52,26,Image20h,4X_FITC_15%,10550.16
53,26,Image20h,Brightfield,2797.72
54,27,Image20h,4X_FITC_15%,18618.2
55,27,Image20h,Brightfield,2414.04
