Raw Data 		Experiment - BH_JMM_9_3_2024_LPS (Run on LCS480 1.5.1.62)
SamplePos	SampleName	Prog#	Seg#	Cycle#	Time	Temp	465-510	
A1	Sample 1	3	1	1	756860	94.9	0.64
A1	Sample 1	3	2	1	809790	59.91	0.88
A1	Sample 1	3	1	2	829880	94.99	0.64
A1	Sample 1	3	2	2	882880	59.94	0.89
A1	Sample 1	3	1	3	902980	94.99	0.63
A1	Sample 1	3	2	3	955980	59.94	0.89
A1	Sample 1	3	1	4	976070	94.99	0.63
A1	Sample 1	3	2	4	1029080	59.94	0.89
A1	Sample 1	3	1	5	1049170	94.99	0.63
A1	Sample 1	3	2	5	1102180	59.91	0.91
A1	Sample 1	3	1	6	1122280	94.99	0.63
A1	Sample 1	3	2	6	1175280	59.91	0.90
A1	Sample 1	3	1	7	1195380	94.99	0.63
A1	Sample 1	3	2	7	1248390	59.94	0.91
A1	Sample 1	3	1	8	1268480	94.99	0.63
A1	Sample 1	3	2	8	1321480	59.91	0.92
A1	Sample 1	3	1	9	1341590	94.99	0.63
A1	Sample 1	3	2	9	1394580	59.91	0.92
A1	Sample 1	3	1	10	1414580	94.99	0.63
A1	Sample 1	3	2	10	1467590	59.91	0.92
A1	Sample 1	3	1	11	1487590	94.99	0.63
A1	Sample 1	3	2	11	1540580	59.94	0.93
A1	Sample 1	3	1	12	1560580	94.99	0.63
A1	Sample 1	3	2	12	1613590	59.91	0.91
A1	Sample 1	3	1	13	1633690	94.99	0.63
A1	Sample 1	3	2	13	1686680	59.94	0.92
A1	Sample 1	3	1	14	1706710	95.03	0.63
A1	Sample 1	3	2	14	1759690	59.91	0.93
A1	Sample 1	3	1	15	1779700	94.99	0.64
A1	Sample 1	3	2	15	1832680	59.94	0.92
A1	Sample 1	3	1	16	1852780	95.03	0.63
A1	Sample 1	3	2	16	1905790	59.94	0.93
A1	Sample 1	3	1	17	1925890	94.99	0.64
A1	Sample 1	3	2	17	1978900	59.91	0.92
A1	Sample 1	3	1	18	1998990	94.99	0.64
A1	Sample 1	3	2	18	2051980	59.94	0.91
A1	Sample 1	3	1	19	2072080	95.03	0.64
A1	Sample 1	3	2	19	2125090	59.91	0.92
A1	Sample 1	3	1	20	2145200	94.99	0.63
A1	Sample 1	3	2	20	2198180	59.94	0.93
A1	Sample 1	3	1	21	2218180	94.99	0.64
A1	Sample 1	3	2	21	2271190	59.91	0.92
A1	Sample 1	3	1	22	2291200	94.99	0.63
A1	Sample 1	3	2	22	2344180	59.94	0.93
A1	Sample 1	3	1	23	2364290	95.03	0.64
A1	Sample 1	3	2	23	2417290	59.94	0.93
A1	Sample 1	3	1	24	2437390	94.99	0.63
A1	Sample 1	3	2	24	2490390	59.91	0.92
