Area,Intensity,Eccentricity,Droplet Sample
149527,245580,0.989485,Fluorescein Only
92,1757,0.346889,Fluorescein Only
1191,9191,0.949623,Fluorescein Only
266,3870,0.631198,Fluorescein Only
167,3224,0.737488,Fluorescein Only
81,1491,0.000000,Fluorescein Only
81,1699,0.000000,Fluorescein Only
846,6329,0.743566,Fluorescein Only
443,3820,0.751743,Fluorescein Only
399,8223,0.300134,Fluorescein Only
246,4684,0.741403,Fluorescein Only
2009,13307,0.978830,Fluorescein Only
172,394,0.789026,Fluorescein Only
251,652,0.494934,Fluorescein Only
441,2487,0.699760,Fluorescein Only
333,6758,0.497310,Fluorescein Only
2645,12026,0.834304,Fluorescein Only
356,6768,0.532749,Fluorescein Only
365,7120,0.517403,Fluorescein Only
124,351,0.419776,Fluorescein Only
352,6051,0.524433,Fluorescein Only
6639,20518,0.975291,Fluorescein Only
220,4202,0.734651,Fluorescein Only
344,6531,0.526248,Fluorescein Only
365,6417,0.499292,Fluorescein Only
333,5810,0.380183,Fluorescein Only
991,3264,0.845015,Fluorescein Only
287,5597,0.323481,Fluorescein Only
356,6839,0.558576,Fluorescein Only
324,5719,0.344210,Fluorescein Only
229,4237,0.784225,Fluorescein Only
336,6570,0.535807,Fluorescein Only
384,7224,0.543988,Fluorescein Only
192,371,0.895600,Fluorescein Only
405,6792,0.366707,Fluorescein Only
371,6703,0.448474,Fluorescein Only
388,7300,0.581260,Fluorescein Only
263,2469,0.688703,Fluorescein Only
380,6572,0.410115,Fluorescein Only
119,2138,0.219920,Fluorescein Only
344,6898,0.534655,Fluorescein Only
415,6440,0.337170,Fluorescein Only
277,5079,0.574999,Fluorescein Only
349,6944,0.534399,Fluorescein Only
108,2132,0.342340,Fluorescein Only
304,6399,0.578741,Fluorescein Only
344,5619,0.544854,Fluorescein Only
349,5292,0.593047,Fluorescein Only
364,7336,0.510599,Fluorescein Only
425,6488,0.353229,Fluorescein Only
341,6982,0.643948,Fluorescein Only
343,6418,0.498832,Fluorescein Only
330,6471,0.512854,Fluorescein Only
316,6033,0.501569,Fluorescein Only
406,4816,0.282667,Fluorescein Only
320,5611,0.395788,Fluorescein Only
298,5410,0.366181,Fluorescein Only
343,6838,0.563087,Fluorescein Only
341,6310,0.480589,Fluorescein Only
240,2780,0.691758,Fluorescein Only
319,6567,0.537945,Fluorescein Only
322,3217,0.672250,Fluorescein Only
223,4400,0.721067,Fluorescein Only
355,6984,0.570628,Fluorescein Only
347,6503,0.599195,Fluorescein Only
298,5459,0.685806,Fluorescein Only
103,1984,0.477225,Fluorescein Only
355,7238,0.570628,Fluorescein Only
217,2126,0.790300,Fluorescein Only
327,5006,0.519236,Fluorescein Only
338,6957,0.568798,Fluorescein Only
354,7495,0.582109,Fluorescein Only
390,6417,0.410373,Fluorescein Only
382,6756,0.359850,Fluorescein Only
342,6300,0.467882,Fluorescein Only
367,5704,0.300071,Fluorescein Only
215,4484,0.527501,Fluorescein Only
202,3719,0.611219,Fluorescein Only
294,6218,0.380631,Fluorescein Only
404,5764,0.376070,Fluorescein Only
405,5948,0.246778,Fluorescein Only
402,5951,0.267873,Fluorescein Only
299,4314,0.420604,Fluorescein Only
109,2112,0.462769,Fluorescein Only
328,4997,0.548996,Fluorescein Only
365,4465,0.620042,Fluorescein Only
404,971,0.326433,Fluorescein Only
400,5139,0.268002,Fluorescein Only
319,6242,0.574050,Fluorescein Only
398,4595,0.233084,Fluorescein Only
403,5611,0.301429,Fluorescein Only
330,6760,0.640847,Fluorescein Only
304,5951,0.446355,Fluorescein Only
307,3250,0.506783,Fluorescein Only
390,3535,0.139836,Fluorescein Only
272,2977,0.505475,Fluorescein Only
310,6213,0.282037,Fluorescein Only
314,5840,0.372158,Fluorescein Only
201,2097,0.852930,Fluorescein Only
334,6732,0.474213,Fluorescein Only
308,619,0.627047,Fluorescein Only
366,6928,0.519414,Fluorescein Only
330,6708,0.432823,Fluorescein Only
312,6077,0.491478,Fluorescein Only
312,4412,0.593103,Fluorescein Only
339,6453,0.539366,Fluorescein Only
249,4986,0.564597,Fluorescein Only
315,6491,0.404146,Fluorescein Only
373,6392,0.407634,Fluorescein Only
353,6493,0.534609,Fluorescein Only
314,5792,0.412888,Fluorescein Only
322,6512,0.554777,Fluorescein Only
375,6493,0.450200,Fluorescein Only
